flight_no,departure_airport,arrival_airport,scheduled_departure,scheduled_arrival,aircraft
PG0405,Домодедово,Пулково,2016-09-13 05:35:00+00:00,2016-09-13 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-03 15:05:00+00:00,2016-10-03 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-03 05:35:00+00:00,2016-10-03 06:30:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-11-07 08:25:00+00:00,2016-11-07 09:20:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-14 05:35:00+00:00,2016-10-14 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-14 15:05:00+00:00,2016-10-14 16:00:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-14 07:25:00+00:00,2016-10-14 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-14 08:25:00+00:00,2016-10-14 09:20:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-23 05:35:00+00:00,2016-10-23 06:30:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-21 08:25:00+00:00,2016-10-21 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-21 07:25:00+00:00,2016-10-21 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-21 15:05:00+00:00,2016-10-21 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-21 05:35:00+00:00,2016-10-21 06:30:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-04 08:25:00+00:00,2016-10-04 09:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-09-25 08:25:00+00:00,2016-09-25 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-04 07:25:00+00:00,2016-10-04 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-04 15:05:00+00:00,2016-10-04 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-04 05:35:00+00:00,2016-10-04 06:30:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-09-25 07:25:00+00:00,2016-09-25 08:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-09-23 07:25:00+00:00,2016-09-23 08:20:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-09-16 05:35:00+00:00,2016-09-16 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-09-16 15:05:00+00:00,2016-09-16 16:00:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-09-16 07:25:00+00:00,2016-09-16 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-09-16 08:25:00+00:00,2016-09-16 09:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-09-25 15:05:00+00:00,2016-09-25 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-10 05:35:00+00:00,2016-10-10 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-10 15:05:00+00:00,2016-10-10 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-11-01 05:35:00+00:00,2016-11-01 06:30:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-10 07:25:00+00:00,2016-10-10 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-10 08:25:00+00:00,2016-10-10 09:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-11-01 15:05:00+00:00,2016-11-01 16:00:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-11-01 07:25:00+00:00,2016-11-01 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-11-01 08:25:00+00:00,2016-11-01 09:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-05 08:25:00+00:00,2016-10-05 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-05 07:25:00+00:00,2016-10-05 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-05 15:05:00+00:00,2016-10-05 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-05 05:35:00+00:00,2016-10-05 06:30:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-09-25 05:35:00+00:00,2016-09-25 06:30:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-11-06 05:35:00+00:00,2016-11-06 06:30:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-11-11 08:25:00+00:00,2016-11-11 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-11-11 07:25:00+00:00,2016-11-11 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-11-11 15:05:00+00:00,2016-11-11 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-11-11 05:35:00+00:00,2016-11-11 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-11-06 15:05:00+00:00,2016-11-06 16:00:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-11-06 07:25:00+00:00,2016-11-06 08:20:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-13 05:35:00+00:00,2016-10-13 06:30:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-13 15:05:00+00:00,2016-10-13 16:00:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-13 07:25:00+00:00,2016-10-13 08:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-13 08:25:00+00:00,2016-10-13 09:20:00+00:00,Airbus A321-200
PG0402,Домодедово,Пулково,2016-10-06 08:25:00+00:00,2016-10-06 09:20:00+00:00,Airbus A321-200
PG0403,Домодедово,Пулково,2016-10-06 07:25:00+00:00,2016-10-06 08:20:00+00:00,Airbus A321-200
PG0404,Домодедово,Пулково,2016-10-06 15:05:00+00:00,2016-10-06 16:00:00+00:00,Airbus A321-200
PG0405,Домодедово,Пулково,2016-10-06 05:35:00+00:00,2016-10-06 06:30:00+00:00,Airbus A321-200
