,id,name,market_cap,market_cap_change_24h,content,top_3_coins_id,top_3_coins,volume_24h,updated_at,created_at
count,535,535,298.0,298.0,314,535,535,298.0,298,535
unique,535,535,,,314,483,483,,298,1
top,xt-smart-chain-ecosystem,XT Smart Chain Ecosystem,,,"Apex Chain is a gas-free blockchain, powered by the Omnia token.",[],[],,2025-03-30T00:36:19.761Z,20250330_014029
freq,1,1,,,1,38,38,,1,535
mean,,,32101531466.319782,-4.203081680083559,,,,1345957168.1665342,,
std,,,210443944462.3454,3.782859855252308,,,,6627665892.72585,,
min,,,0.0,-20.017454730724427,,,,0.0,,
25%,,,52061551.24573963,-6.450145241276114,,,,2814905.335232622,,
50%,,,415504264.0558728,-4.683391277887003,,,,52563050.21910061,,
75%,,,2527594995.5562763,-1.7353283376911068,,,,236276498.63768765,,
max,,,2243786602634.5186,11.043579194806034,,,,55538528226.22729,,
